2025-11-20 12:45:49,711 | PID=3822057 | idx=52 | STEP=zarr_file_1 | open=2.5ms | read=43.6ms
2025-11-20 12:45:49,714 | PID=3821359 | idx=0 | STEP=zarr_file_2 | open=3.4ms | read=55.5ms
2025-11-20 12:45:49,715 | PID=3821680 | idx=32 | STEP=zarr_file_1 | open=4.0ms | read=59.5ms
2025-11-20 12:45:49,715 | PID=3822121 | idx=56 | STEP=zarr_file_0 | open=6.0ms | read=42.8ms
2025-11-20 12:45:49,730 | PID=3821930 | idx=40 | STEP=zarr_file_1 | open=2.9ms | read=58.3ms
2025-11-20 12:45:49,732 | PID=3821616 | idx=24 | STEP=zarr_file_2 | open=6.4ms | read=39.2ms
2025-11-20 12:45:49,733 | PID=3821663 | idx=28 | STEP=zarr_file_2 | open=10.5ms | read=44.4ms
2025-11-20 12:45:49,735 | PID=3821363 | idx=12 | STEP=zarr_file_2 | open=10.3ms | read=46.6ms
2025-11-20 12:45:49,745 | PID=3821994 | idx=48 | STEP=zarr_file_2 | open=3.1ms | read=42.6ms
2025-11-20 12:45:49,746 | PID=3821805 | idx=36 | STEP=zarr_file_2 | open=3.1ms | read=39.0ms
2025-11-20 12:45:49,746 | PID=3821366 | idx=16 | STEP=zarr_file_2 | open=17.2ms | read=45.5ms
2025-11-20 12:45:49,754 | PID=3821931 | idx=44 | STEP=zarr_file_2 | open=2.5ms | read=43.2ms
2025-11-20 12:45:49,754 | PID=3822057 | idx=52 | STEP=zarr_file_2 | open=2.5ms | read=40.7ms
2025-11-20 12:45:49,760 | PID=3822121 | idx=56 | STEP=zarr_file_1 | open=3.4ms | read=41.1ms
2025-11-20 12:45:49,761 | PID=3822184 | idx=60 | STEP=zarr_file_0 | open=5.7ms | read=44.8ms
2025-11-20 12:45:49,763 | PID=3821429 | idx=20 | STEP=zarr_file_2 | open=2.6ms | read=54.0ms
2025-11-20 12:45:49,773 | PID=3821680 | idx=32 | STEP=zarr_file_2 | open=3.1ms | read=55.0ms
2025-11-20 12:45:49,780 | PID=3821930 | idx=40 | STEP=zarr_file_2 | open=2.7ms | read=46.7ms
2025-11-20 12:45:49,804 | PID=3822121 | idx=56 | STEP=zarr_file_2 | open=2.6ms | read=41.8ms
2025-11-20 12:45:49,810 | PID=3822184 | idx=60 | STEP=zarr_file_1 | open=3.0ms | read=46.0ms
2025-11-20 12:45:49,854 | PID=3822184 | idx=60 | STEP=zarr_file_2 | open=2.7ms | read=41.0ms
2025-11-20 12:45:50,381 | PID=3821429 | idx=84 | STEP=zarr_file_0 | open=5.1ms | read=39.1ms
2025-11-20 12:45:50,384 | PID=3821994 | idx=112 | STEP=zarr_file_0 | open=4.5ms | read=42.9ms
2025-11-20 12:45:50,384 | PID=3821930 | idx=104 | STEP=zarr_file_0 | open=6.1ms | read=41.6ms
2025-11-20 12:45:50,391 | PID=3821360 | idx=68 | STEP=zarr_file_0 | open=5.6ms | read=42.1ms
2025-11-20 12:45:50,394 | PID=3821366 | idx=80 | STEP=zarr_file_0 | open=8.1ms | read=45.5ms
2025-11-20 12:45:50,395 | PID=3821663 | idx=92 | STEP=zarr_file_0 | open=4.3ms | read=45.1ms
2025-11-20 12:45:50,395 | PID=3822057 | idx=116 | STEP=zarr_file_0 | open=3.4ms | read=53.0ms
2025-11-20 12:45:50,395 | PID=3821359 | idx=64 | STEP=zarr_file_0 | open=5.4ms | read=45.7ms
2025-11-20 12:45:50,396 | PID=3821616 | idx=88 | STEP=zarr_file_0 | open=7.6ms | read=45.8ms
2025-11-20 12:45:50,401 | PID=3821931 | idx=108 | STEP=zarr_file_0 | open=5.4ms | read=44.6ms
2025-11-20 12:45:50,401 | PID=3821361 | idx=72 | STEP=zarr_file_0 | open=11.2ms | read=51.3ms
2025-11-20 12:45:50,404 | PID=3821363 | idx=76 | STEP=zarr_file_0 | open=4.9ms | read=45.6ms
2025-11-20 12:45:50,422 | PID=3821805 | idx=100 | STEP=zarr_file_0 | open=4.1ms | read=46.0ms
2025-11-20 12:45:50,426 | PID=3821930 | idx=104 | STEP=zarr_file_1 | open=2.7ms | read=39.1ms
2025-11-20 12:45:50,427 | PID=3821429 | idx=84 | STEP=zarr_file_1 | open=2.4ms | read=43.8ms
2025-11-20 12:45:50,437 | PID=3822057 | idx=116 | STEP=zarr_file_1 | open=2.6ms | read=39.5ms
2025-11-20 12:45:50,439 | PID=3821994 | idx=112 | STEP=zarr_file_1 | open=2.6ms | read=52.7ms
2025-11-20 12:45:50,440 | PID=3821359 | idx=64 | STEP=zarr_file_1 | open=2.9ms | read=41.3ms
2025-11-20 12:45:50,441 | PID=3821366 | idx=80 | STEP=zarr_file_1 | open=3.0ms | read=43.5ms
2025-11-20 12:45:50,444 | PID=3821616 | idx=88 | STEP=zarr_file_1 | open=3.3ms | read=44.9ms
2025-11-20 12:45:50,446 | PID=3821360 | idx=68 | STEP=zarr_file_1 | open=3.1ms | read=51.3ms
2025-11-20 12:45:50,447 | PID=3821663 | idx=92 | STEP=zarr_file_1 | open=3.3ms | read=48.7ms
2025-11-20 12:45:50,448 | PID=3821361 | idx=72 | STEP=zarr_file_1 | open=2.9ms | read=43.6ms
2025-11-20 12:45:50,450 | PID=3821931 | idx=108 | STEP=zarr_file_1 | open=2.8ms | read=46.7ms
2025-11-20 12:45:50,454 | PID=3821363 | idx=76 | STEP=zarr_file_1 | open=4.0ms | read=46.2ms
2025-11-20 12:45:50,469 | PID=3821805 | idx=100 | STEP=zarr_file_1 | open=3.7ms | read=42.4ms
2025-11-20 12:45:50,469 | PID=3821429 | idx=84 | STEP=zarr_file_2 | open=2.9ms | read=39.1ms
2025-11-20 12:45:50,472 | PID=3821930 | idx=104 | STEP=zarr_file_2 | open=3.3ms | read=42.7ms
2025-11-20 12:45:50,479 | PID=3822057 | idx=116 | STEP=zarr_file_2 | open=3.4ms | read=39.0ms
2025-11-20 12:45:50,485 | PID=3821359 | idx=64 | STEP=zarr_file_2 | open=3.3ms | read=42.2ms
2025-11-20 12:45:50,488 | PID=3821360 | idx=68 | STEP=zarr_file_2 | open=2.7ms | read=38.5ms
2025-11-20 12:45:50,488 | PID=3821366 | idx=80 | STEP=zarr_file_2 | open=3.5ms | read=42.9ms
2025-11-20 12:45:50,490 | PID=3821663 | idx=92 | STEP=zarr_file_2 | open=2.6ms | read=41.1ms
2025-11-20 12:45:50,491 | PID=3821994 | idx=112 | STEP=zarr_file_2 | open=4.9ms | read=46.5ms
2025-11-20 12:45:50,492 | PID=3821931 | idx=108 | STEP=zarr_file_2 | open=2.5ms | read=39.6ms
2025-11-20 12:45:50,494 | PID=3821616 | idx=88 | STEP=zarr_file_2 | open=2.8ms | read=46.7ms
2025-11-20 12:45:50,494 | PID=3821363 | idx=76 | STEP=zarr_file_2 | open=2.7ms | read=37.2ms
2025-11-20 12:45:50,496 | PID=3821361 | idx=72 | STEP=zarr_file_2 | open=2.9ms | read=44.7ms
2025-11-20 12:45:50,517 | PID=3821805 | idx=100 | STEP=zarr_file_2 | open=3.3ms | read=44.4ms
2025-11-20 14:36:51,108 | PID=3871907 | idx=44 | STEP=zarr_file_0 | open=10.2ms | read=47.2ms
2025-11-20 14:36:51,109 | PID=3871903 | idx=32 | STEP=zarr_file_0 | open=8.2ms | read=48.6ms
2025-11-20 14:36:51,109 | PID=3871911 | idx=60 | STEP=zarr_file_0 | open=9.8ms | read=47.4ms
2025-11-20 14:36:51,109 | PID=3871902 | idx=28 | STEP=zarr_file_0 | open=10.6ms | read=47.0ms
